Unit 1,Unit 2,Length of shared border
295101142005,295101141022,0
295101142005,295101141014,0
295101142004,295101141022,0
295101142004,295101141014,0
295101141022,295101141014,0
295101142004,295101141014,0.627525557
295101142003,295101141014,0.715293519
295101142003,295101141011,0
295101142003,295101142002,0
295101142003,295101141014,0
295101141011,295101142002,0
295101141011,295101141014,0
295101142002,295101141014,0
295101141011,295101141014,0.350925196
295101151003,295101151005,0.359233095
295101151003,295101151002,0.618833608
295101151003,295101152003,0.358703782
295101151004,295101151003,0.619710614
295101064001,295101064002,0.781365039
295101064001,295101269005,0.814925818
295101064001,295101067001,0.225958863
295101064001,295101067004,0.54722258
295101064001,295101064003,0.812806911
291070904013,291070904011,10.35693003
291070904013,291070904021,4.917558777
291070904013,291070904023,0
291070904013,291070904022,0
291070904013,291070904021,0
291070904023,291070904022,0
291070904023,291070904021,0
291070904022,291070904021,0
291070904013,291070904023,6.153692251
291070904013,291070904022,1.126660734
291070904013,291070902005,0.55009312
291070904013,291070904014,8.26929871
291070904013,291070904012,26.86787159
291070904013,291950907002,2.77563707
291070904013,291070905002,20.48736154
291070904013,291070905003,3.744041752
291070904013,291070905001,8.095599291
291070904012,291070904014,8.012184751
291070903001,291070904012,12.44058839
291950907001,291070904012,10.00696138
291070904012,291950907002,3.508975555
291070904011,291070901004,10.15128691
291070904011,291070902004,11.2502624
291070904021,291070904011,1.540960436
291070904011,291070905001,10.39857882
291070906012,291070904011,0
291070906012,291070905001,0
291070906012,291070901004,0
291070904011,291070905001,0
291070904011,291070901004,0
291070905001,291070901004,0
291070904022,291070904023,2.103950352
291070904022,291070904021,2.281947004
291070904021,291070902004,1.289389092
291070904021,291070902005,5.750712446
291070902005,291070904014,7.731976904
291070903001,291070904014,7.974305779
291892151461,291892150011,1.023012444
291892151451,291892150011,0
291892151451,291892151461,0
291892151451,291892151452,0
291892151451,291892150012,0
291892150011,291892151461,0
291892150011,291892151452,0
291892150011,291892150012,0
291892151461,291892151452,0
291892151461,291892150012,0
291892151452,291892150012,0
291892150012,291892150011,2.35301427
291892132024,291892150011,1.470743749
291892132022,291892150011,0.930117704
291892132043,291892150011,2.644681311
291892149022,291892150011,0.727755193
291892156001,291892150043,0
291892156001,291892149022,0
291892156001,291892150011,0
291892150043,291892149022,0
291892150043,291892150011,0
291892149022,291892150011,0
291892150043,291892150011,2.31956433
291892150031,291892150011,1.452696712
291892151023,291892150011,0.855001789
291892151021,291892150011,0.409803493
291892151462,291892150011,0.143129307
291892153011,291892153012,2.511591137
291892153011,291892150052,0.569835796
291892153011,291892150051,0.808724149
291892150053,291892153011,0.314990616
291892150055,291892153011,0.371765761
291892156001,291892153011,0.009961796
291892155001,291892153011,1.925364142
291892153011,291892154001,0.849561752
291892153023,291892153011,1.065841451
291892153011,291892153022,0.764631451
290997002062,290997002063,1.725177592
290997002113,290997002063,0.052594754
290997002092,290997002063,2.446714148
290997002091,290997002063,1.828531955
290997002091,290997001071,0
290997002091,290997001131,0
290997002091,290997002063,0
290997001071,290997001131,0
290997001071,290997002063,0
290997001131,290997002063,0
290997001071,290997002063,2.552599913
290997002061,290997002063,1.979132517
290997006033,290997006032,4.85494396
290997006031,290997006033,3.484732853
290997006071,290997006033,4.216102478
290997006051,290997006033,4.525572781
290997002083,290997002103,3.122576752
290997002102,290997002083,0.115630379
290997002081,290997002083,2.094085124
290997002132,290997002083,1.151613904
290997002083,290997002084,4.042310897
290997002083,290997002092,0.016631668
290997002101,290997002102,1.440504033
290997003031,290997002102,0.950738505
290997003031,291892214231,0
290997003031,290997002102,0
290997003031,291892214242,0
291892214231,290997002102,0
291892214231,291892214242,0
290997002102,291892214242,0
291892214231,290997002102,1.167382867
290997002081,290997002102,2.307683296
290997002102,290997002103,1.451088963
290997001171,290997001183,1.99488065
290997001132,290997001183,0.673650318
290997001184,290997001183,1.436702079
290997001182,290997001183,0.708080544
290997001212,290997001183,2.686808917
290997001143,290997001212,0
290997001143,290997001171,0
290997001143,290997001183,0
290997001212,290997001171,0
290997001212,290997001183,0
290997001171,290997001183,0
290950071003,290950069002,0.874021857
290950168011,290950069002,0.271930399
290950069001,290950069002,0.740833954
290950073022,290950069002,0.240069987
290950073021,290950069002,0.165240328
290950057002,290950058012,0.996310427
290950057002,290950164001,0
290950057002,290950165002,0
290950057002,290950058012,0
290950164001,290950165002,0
290950164001,290950058012,0
290950165002,290950058012,0
290950164001,290950058012,0.499407234
290950058013,290950058012,0.998707718
