GEOID20,POP20,votes_dem,votes_gop,WHITEPOP,BLACKPOP,HISPLATPOP
291892215033,2315,441.428005,637.8351181,2116,25,63
291892215061,2007,512.2043633,575.6436963,1656,42,99
291892215062,1605,424.8252699,501.4554851,1423,24,36
291892215063,1391,330.0093265,406.6022862,1216,12,18
291892216211,1633,397.1227187,560.2761599,1448,27,71
291892216212,945,253.5911221,336.9162067,888,5,20
291892216213,1934,484.7911314,619.5532162,1765,17,42
291892216241,2140,542.0285965,639.4991856,1754,29,101
291892216242,1229,328.1417778,390.6837381,1032,16,25
291892216251,1906,472.2480228,523.7104418,1582,56,89
291892216252,1701,455.6955749,543.5799281,1441,31,67
291892216253,2541,609.8880727,700.3216323,2062,49,79
291892216254,983,239.6741618,276.2268142,802,8,51
291892216261,2353,653.7352496,761.6299396,2024,40,66
291892216262,1864,503.5852091,601.5432534,1529,41,54
291892216263,1736,437.8210184,586.5893957,1544,18,58
291892216271,1731,394.4106053,512.5640765,1352,41,30
291892216272,2517,613.3326962,790.6133065,2048,47,98
291892216273,2429,651.6415389,784.2800456,1998,37,95
291892216291,2262,532.2929029,621.7034947,1451,21,57
291892216292,959,249.9344992,308.4064814,776,6,21
291892216293,1851,450.0649615,580.8700358,1632,34,49
291892216294,528,117.2677024,155.7534994,397,6,42
291892216301,968,221.2661517,222.8298954,571,80,37
291892216302,1259,411.0609815,443.7795463,1122,16,38
291892216311,1221,351.8187263,373.4625619,628,40,29
291892216312,1718,360.8116938,391.2325503,1149,66,85
291892216313,936,175.1951654,191.0537627,501,13,257
291892216314,1846,349.6692939,404.4551913,1351,49,66
291892218001,1537,365.756978,174.6157967,111,1300,66
291892218002,839,191.2901413,92.82309776,76,661,60
291892218003,722,167.2277317,79.03764646,118,518,34
291892219001,746,230.413352,199.9394811,651,24,35
291892219002,1056,323.8348394,284.1706373,936,12,35
291892219003,679,203.5404167,176.6745881,587,13,18
291892219004,1390,434.277778,369.6666666,1268,41,25
291892220001,1716,426.8575192,528.5524998,1578,14,36
291892220002,1971,486.1212239,580.86709,1848,24,31
291892221001,1176,299.4547981,384.3930294,1024,14,35
291892221002,1199,290.0090127,369.5284029,1049,12,58
291892221003,991,239.07053,298.5959616,842,37,44
291892221004,1932,466.4653693,582.8097208,1722,20,27
291950901001,511,96.99250387,128.9804173,476,1,13
291950901002,608,113.9051386,142.3706845,525,28,18
291950901003,683,127.9559371,159.9328577,589,33,18
291950901004,607,113.7177947,142.1365221,481,55,25
291950902001,1126,218.6724963,304.4851394,1063,17,36
291950902002,1081,152.1487347,182.3182149,989,31,42
291950903001,1068,123.1069976,149.2764695,732,46,183
291950903002,737,83.84214372,101.3686465,497,35,125
291950903003,1155,154.7264253,183.3034842,871,49,194
291950904001,1349,195.2269252,247.3218246,934,83,287
291950904002,622,86.59439935,107.7799999,465,64,55
291950904003,855,121.2790737,152.2619891,582,75,143
291950905001,1307,169.8459739,197.7355125,913,63,208
291950905002,1309,224.8878262,259.631884,998,56,203
