Unit 1,Unit 2,Length of border
29077001500,29077005802,0.0
29077001700,29077001800,1.006311318
29077001700,29077003100,2.098463984
29077001700,29077003200,1.065179083
29077001700,29077005802,1.512589433
29077001800,29077001900,1.009728695
29077001800,29077003200,2.166109235
29077001800,29077003300,1.055987872
29077001900,29077003300,1.638751966
29077001900,29077005500,1.619525313
29077001900,29077005600,2.000978954
29077002200,29077002300,4.179910244
29077002200,29077003600,1.468138402
29077002200,29077003701,0.0
29077002200,29077003702,5.641059121
29077002200,29077004401,0.0
29077002200,29077004500,4.171174297
29077002200,29077005500,1.032718716
29077002300,29077002402,1.927649304
29077002300,29077003701,2.015889602
29077002300,29077003702,0.0
29077002300,29077005700,2.010725886
29077002402,29077002502,2.136767754
29077002402,29077003701,2.036276156
29077002402,29077003802,0.0
29077002402,29077005700,2.029444723
29077002502,29077002600,2.19289157
29077002502,29077003701,0.0
29077002502,29077003801,0.0
29077002502,29077003802,3.079502381
29077002502,29077003900,1.637050585
29077002502,29077005700,1.080445792
29077002600,29077002700,2.601098088
29077002600,29077003900,3.902394905
29077002600,29077005700,2.032773309
29077002700,29077002800,1.523711809
29077002700,29077003900,0.540399058
29077002700,29077004002,0.0
29077002700,29077004004,0.0
29077002700,29077004005,2.832376437
29077002800,29077002900,2.283705323
29077002800,29077004004,2.146654345
29077002800,29077004005,0.0
29077002800,29077004108,0.0
29077002900,29077003004,1.475051681
29077002900,29077004004,0.0
29077002900,29077004107,0.0
29077002900,29077004108,2.922738932
29077003003,29077003004,2.737198478
29077003003,29077004201,2.096308553
29077003003,29077004202,0.0
29077003003,29077005801,4.052473297
29077003004,29077004107,2.47053127
29077003004,29077004108,0.0
29077003004,29077004201,0.0
29077003004,29077004202,2.459369924
29077003100,29077003200,2.013300624
29077003100,29077004304,0.0
29077003100,29077004305,1.005257183
29077003100,29077004306,1.012960844
29077003100,29077005802,2.069920964
29077003200,29077003300,3.053919302
29077003200,29077004304,1.561701716
29077003200,29077004306,0.0
29077003300,29077004304,2.496891856
29077003300,29077005600,4.011599578
29077003600,29077004401,2.305127277
29077003600,29077004402,0.0
29077003600,29077004500,0.0
29077003600,29077005500,2.85122076
29077003600,29077005600,1.671221007
29077003701,29077003702,6.139035555
29077003701,29077003802,5.751515134
29077003701,29077004700,3.939822181
29077003702,29077004500,6.20422236
29077003702,29077004601,2.490530694
29077003702,29077004700,5.004786535
29077003801,29077003802,6.550112741
29077003801,29077003900,4.323443241
29077003801,29077004002,3.879662037
29077003801,29077004003,1.101104539
29077003801,29077004700,8.058311803
29077003801,29043,6.435760962000001
29077003802,29077003900,0.0
29077003802,29077004700,6.689869333
29077003900,29077004002,2.954039175
29077003900,29077004005,0.0
29077004002,29077004003,5.910845371
29077004002,29077004005,4.139410586
29077004003,29077004004,1.996938732
29077004003,29077004005,1.563849428
29077004003,29077004108,0.0
29077004003,29077004109,4.17234728
29077004003,29043,7.301869021
29077004004,29077004005,2.660908714
29077004004,29077004108,1.603822779
29077004004,29077004109,0.0
29077004104,29077004105,4.247212391
29077004104,29077004106,5.968095084
29077004104,29077004804,4.045863619
29077004104,29043,2.05973066
29077004105,29077004106,1.03288348
29077004105,29077004107,2.010147979
29077004105,29077004202,5.127418543
29077004105,29077004804,2.009828727
29077004106,29077004107,1.513059781
29077004106,29077004109,4.501187998
29077004106,29043,5.029706147
29077004107,29077004108,3.019557442
29077004107,29077004109,0.505751262
29077004107,29077004202,0.5737269
29077004108,29077004109,3.107242577
29077004109,29043,3.047771122
29077004201,29077004202,6.89886443
29077004201,29077004305,4.712015272
29077004201,29077004804,1.003606327
29077004201,29077004805,0.0
29077004201,29077005801,1.509919824
29077004201,29077005802,0.559374151
29077004202,29077004804,4.789669883
29077004303,29077004304,7.026317006
29077004303,29077004402,3.94275809
29077004303,29077005100,9.203834793
29077004303,29077005202,0.0
29077004303,29077005600,4.488354414
29077004304,29077004306,3.518038145
29077004304,29077004805,0.487782829
29077004304,29077004900,12.22489878
29077004304,29077005100,1.525862329
29077004304,29077005600,0.576092076
29077004305,29077004306,5.038211563
29077004305,29077004804,0.0
29077004305,29077004805,4.245969629
29077004305,29077005802,2.040745098
29077004306,29077004805,2.434947064
29077004401,29077004402,4.276304598
29077004401,29077004500,3.451527897
29077004401,29077005201,2.513869967
29077004401,29077005600,0.0
