GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
29183311311,5880,1390.944444,1510.777778,4652,387,240
29183311312,7417,1651.435025,1917.164081,6255,333,302
29183311322,6787,1629.198532,1958.876088,5669,342,190
29183311331,4631,1119.925524,1339.187757,3998,171,172
29183311391,4831,1253.365659,1421.217915,4072,208,198
29183311422,6035,1430.6843,1691.188987,5084,283,220
29183311500,2205,420.477102,460.3492752,1714,46,318
29183311602,5980,1077.941097,1229.112811,4994,305,233
29183311603,2780,607.7135136,727.6064443,2298,160,114
29183311604,3164,698.3684729,856.1062159,2769,97,78
29183311712,4889,988.4444442,1185.555555,3844,242,336
29183311721,3765,875.8329743,1059.726382,3092,193,134
29183311732,7074,1660.512383,1971.134424,5921,262,308
29183311733,2272,518.6670265,626.4402852,1884,121,104
29183311734,4233,899.666668,1035.166667,3335,355,197
29183311735,5970,1372.952019,1650.707332,5015,292,222
29183311737,3461,776.15643,983.5864831,2828,166,101
29183311738,4465,715.4546817,903.7468501,3325,267,463
29183311739,4551,1074.505605,1358.914117,3775,142,137
29183311740,2096,516.4297489,659.1292852,1899,38,40
29183311801,6250,1316.209678,1757.640077,5388,284,178
29183311802,6220,1208.206684,1477.433421,5291,228,246
29183311903,6030,1222.216947,1459.238451,5066,312,215
29183311904,6462,1348.838179,1745.139391,5342,348,218
29183311907,6223,1180.363144,1432.246032,4997,494,217
29183311908,4475,808.4361538,1105.999234,3783,182,172
29183311909,5174,1267.379563,1662.910639,4614,113,124
29183312001,3228,686.8515633,1054.579338,2995,38,74
29183312002,4221,783.6694815,1094.577371,3682,162,103
29183312003,6938,915.5245684,1396.32397,6117,190,239
29183312094,5765,879.2459352,1159.142119,4447,643,236
29183312095,6470,1164.989591,1574.027516,5263,501,229
29183312096,9026,857.6085441,1202.527543,7599,514,247
29183312192,6266,949.5683007,1395.516657,5395,218,225
29183312193,8915,1646.57179,2211.385061,7717,368,252
29183312194,3488,105.5166679,166.5244153,3168,103,54
29183312195,3318,164.8004797,265.0143078,2723,191,186
29183312204,5155,1381.235277,1981.330985,4834,27,89
29183312206,4721,928.3117869,1372.006089,4306,67,92
29183312207,4286,612.3474943,741.3601901,3242,206,407
29183312208,5118,730.8981642,981.5726081,4260,199,192
29183312209,4489,581.6440846,791.6682793,3794,206,149
29183312300,2730,718.5283593,867.4631916,2425,39,74
29183312400,5555,1156.704381,1345.669045,4544,321,266
29183980000,12,3.01599417,4.08215196,5,0,3
29189210101,1400,351.4742664,249.9049482,449,863,25
29189210102,3961,866.676624,483.3540636,651,3049,71
29189210200,5585,969.8649158,507.8784463,505,4842,51
29189210300,2985,585.2334174,350.4096013,474,2324,52
29189210400,4142,1330.457019,661.5230331,190,3798,30
29189210501,3164,887.4971144,420.3025686,90,2938,65
29189210502,3305,835.1651602,376.2513014,122,3054,37
29189210600,6645,1702.559199,914.6123473,1051,5366,86
29189210702,5984,1391.529547,747.8361373,570,5048,118
29189210703,3550,991.1528963,530.5715176,494,2821,77
29189210704,3950,748.3333328,363.6666666,172,3595,47
29189210803,4898,1557.301492,966.7580434,1030,3592,52
29189210805,6080,1993.884262,993.8236837,587,5213,107
29189210806,6151,1938.83507,942.8199971,360,5490,85
29189210807,5760,1954.590222,1016.986488,476,4980,73
29189210808,3620,1245.894461,628.3274264,302,3117,40
