GEOID20,POP20,votes_dem,votes_gop,WHITEPOP,BLACKPOP,HISPLATPOP
29051,77279,15531,20226.66667,62241,8123,2661
29053,17103,3119.577905,4454.733673,14850,924,322
29055,23056,3552.833333,5852.944447,21138,148,482
29059,17071,1581.966868,2699.033405,15843,46,320
29063,11029,1517.482643,2499.749464,9780,672,227
29065,14421,2339.621439,4016.573441,13307,70,271
29067,11578,1947.758533,3655.299576,10673,40,239
29069,28283,3659.38889,5755.722224,22068,3184,2042
29071,104682,18759.78468,27419.02149,96383,904,2205
29073,14794,2666.777779,4345.77778,13756,23,189
29077,298915,53940.37136,66630.5069,250745,10233,14392
29083,21946,3657.245435,5425.56602,20008,187,573
29089,10151,1801.671006,2443.012142,8931,542,208
29091,39750,5825.14553,10100.34769,36329,194,896
29097,122761,17801.03711,27156.3801,98581,2342,11377
29101,54013,8308.722226,11445.88889,45354,2369,2595
29105,36039,5257.776121,9267.418015,32848,268,955
29107,32984,6107.944447,8805.722225,29627,679,1047
29109,38001,5572.140871,9361.964277,33137,135,2987
29113,59574,9355.055558,14802.44445,53497,1097,1541
29115,11874,1850.009731,2809.679545,11136,67,289
29117,14557,2252.555556,3669.38889,13473,316,239
29119,23303,2467.854637,4551.181004,17093,435,2818
29121,15209,2766.166667,4373.111112,13855,309,276
29123,12626,1865.502527,3034.147887,11615,56,342
29127,28525,4723.833335,7247.166669,25119,1374,516
29131,24722,4036.000001,6871.500002,23089,117,466
29133,12577,1826.444445,2621.777778,8910,3083,223
29135,15473,2425.978251,3828.855657,13876,282,864
29139,11322,2003.500001,3133.722224,10518,106,229
29141,21006,3310.246453,5148.774352,19497,126,446
29143,16434,2737.611112,3887.277779,12703,2741,253
29145,58648,9327.868817,15248.34167,48383,532,3607
29147,21241,3009.40916,4260.37547,19465,363,427
29151,13274,2318.435092,3988.880182,12745,24,125
29155,15661,2204.222223,3063.666668,10280,4308,415
29157,18956,2988.791724,5079.9949,17748,102,383
29159,42980,6342.775747,8987.14301,35508,1390,4016
29161,44638,7196.555557,10202.88889,38383,1044,1259
29163,17587,2716.722223,4168.111112,15546,944,434
29165,106718,23543.00001,25092.27779,83516,8296,7161
29167,31519,4570.850502,7712.917964,29053,247,791
29169,53955,4676.732549,7242.220044,38553,6322,6079
29173,10355,1778.432717,2842.271866,9748,114,96
29175,24716,3839.425064,5655.023919,21535,1361,572
29177,23158,4283.666668,5914.944446,21109,233,580
29181,10679,1803.444445,3257.777779,9942,31,127
29186,18479,3415.000001,4788.111112,17270,320,269
29187,66922,9691.830307,14221.61136,59940,2658,1089
29195,23333,3658.909143,4787.361356,17995,1172,2830
29201,38059,5368.116177,7939.386534,30913,4502,935
29207,28672,4447.359489,7800.436385,26836,305,566
29209,31076,5288.994112,8899.385538,28574,85,782
29213,56066,8623.6677,13966.74694,47719,851,4329
29215,24487,3684.867264,6343.608828,22240,790,515
29217,19707,2874.786973,4714.635891,18097,110,426
29219,35532,5958.73835,8830.778938,31419,731,1400
29221,23514,3037.268584,5252.919668,21465,610,227
29223,10974,1933.055557,3353.555557,10165,50,155
29225,39085,5304.152764,8782.37613,36178,203,790
29229,18188,2404.73038,4559.147078,16813,118,370
