Unit 1,Unit 2,Length of shared border
29103960100,29199480100,23.47832345
29199480100,29103960200,18.53064365
29189210600,29189210502,1.392465298
29189210600,29189210501,2.731344953
29189210501,29189210702,0
29189210501,29189210600,0
29189210501,29189210805,0
29189210702,29189210600,0
29189210702,29189210805,0
29189210600,29189210805,0
29189210702,29189210600,3.294030351
29189210102,29189210600,0.019629534
29189210600,29189210200,3.049748654
29189210600,29189210300,1.849202181
29189210400,29189210600,2.897100985
29189220801,29189219400,1.023831556
29189219501,29189220801,1.293329216
29189220801,29189219502,0.832004415
29189219502,29189220801,0
29189219502,29189219700,0
29189219502,29189219601,0
29189220801,29189219700,0
29189220801,29189219601,0
29189219700,29189219601,0
29189220801,29189219700,2.916580859
29189220801,29189220701,2.198957233
29189220702,29189220801,1.110233608
29189220703,29189220801,0.185224156
29189220802,29189220801,3.852633545
29189211900,29189210400,0
29189211900,29189212002,0
29189211900,29189210502,0
29189210400,29189212002,0
29189210400,29189210502,0
29189212002,29189210502,0
29189210400,29189210502,1.623662629
29189210400,29189210300,0.393849219
29189210400,29510127000,1.342206481
29510108300,29189210400,1.518620728
29510108200,29510108300,0
29510108200,29189210400,0
29510108200,29189212004,0
29510108300,29189210400,0
29510108300,29189212004,0
29189210400,29189212004,0
29189210400,29189212004,1.859436983
29189210400,29189212002,0.755011418
29189213103,29189221800,1.526860412
29189221800,29189213104,1.764696182
29189211500,29189213104,0
29189211500,29189221800,0
29189211500,29189211402,0
29189213104,29189221800,0
29189213104,29189211402,0
29189221800,29189211402,0
29189211500,29189221800,6.149755601
29189212600,29189221800,1.149678915
29189212702,29189221800,3.150015428
29189213600,29189221800,0.951604413
29189221800,29189213401,2.775279675
29189221800,29189213402,0.726796243
29189221800,29189213302,1.509514675
29189213301,29189221800,2.225309159
29189213103,29189213203,0
29189213103,29189213301,0
29189213103,29189221800,0
29189213203,29189213301,0
29189213203,29189221800,0
29189213301,29189221800,0
29189215144,29189213202,2.367548811
29189213202,29189215143,2.360467673
29189213203,29189213202,4.672935651
29189213204,29189213202,0.904608681
29189215001,29189213202,3.107914475
29189213202,29189215145,0.014666711
29189221201,29189221202,6.376806515
29189221201,29189220703,0
29189221201,29189221202,0
29189221201,29189220803,0
29189220703,29189221202,0
29189220703,29189220803,0
29189221202,29189220803,0
29189220703,29189221202,2.824116083
29189220702,29189221202,0.432581095
29189220702,29189221202,0
29189220702,29189220601,0
29189220702,29189221337,0
29189221202,29189220601,0
29189221202,29189221337,0
29189220601,29189221337,0
29189221337,29189221202,2.178319134
29189221202,29189221336,0.694035982
29189221202,29189221339,1.062684904
29189221202,29189222000,4.528285582
29189221423,29099700212,0
29189221423,29189221202,0
29189221423,29189222000,0
29099700212,29189221202,0
29099700212,29189222000,0
29189221202,29189222000,0
29189221423,29189221202,3.439485792
29189217923,29189217931,3.25193211
29189217807,29189217931,2.052685918
29189217802,29189217931,0.023463757
29189217931,29189217941,3.377599095
29189217931,29189217932,2.276984845
29189218012,29189217701,3.586009427
29189218401,29189218012,0
29189218401,29189217600,0
29189218401,29189217701,0
29189218012,29189217600,0
29189218012,29189217701,0
29189217600,29189217701,0
29189218401,29189218012,2.757367842
29189218401,29189218012,0
29189218401,29189218201,0
29189218401,29189218402,0
29189218012,29189218201,0
29189218012,29189218402,0
29189218201,29189218402,0
29189218012,29189218201,0.6369904
29189218012,29189218014,2.270969815
29189218012,29189218015,3.094625134
29189217702,29189217701,6.407464069
29189217702,29189215201,0
29189217702,29189215234,0
29189217702,29189217701,0
29189215201,29189215234,0
29189215201,29189217701,0
29189215234,29189217701,0
29189215201,29189217701,4.034746756
29189217701,29189215302,0.991023341
29189217600,29189217701,3.858001035
29189218015,29189217701,0.619574791
29189214700,29189214902,0.270258127
29189214700,29189214901,2.008034098
29189214700,29189214800,2.519137922
29189214700,29189213302,1.231952557
29189214700,29189213500,0.038471348
29189214700,29189214400,1.655438877
29189214700,29189214601,2.912306907
29189215201,29189215302,2.329380168
29189215301,29189215302,4.10876752
29189215400,29189215302,2.686605133
29189217500,29189215302,0.359190087
29189217600,29189215302,4.130909683
29189210928,29189210912,2.279294551
29189210927,29189210912,6.947471867
29183310100,29189210912,3.05699832
29189210101,29189210912,3.300014237
29189210703,29189210912,0.249481579
29189210807,29189210912,2.187119528
29189210808,29189210912,3.591470178
29189210803,29189210912,2.190557782
29189211001,29189210925,0
29189211001,29189210803,0
29189211001,29189210912,0
29189210925,29189210803,0
29189210925,29189210912,0
29189210803,29189210912,0
29189210925,29189210912,1.889563604
29189210924,29189210912,0.456241184
29189215105,29183311148,6.124823188
29189215105,29183311145,1.364768835
29189215105,29189215143,2.699334018
29189215105,29189215141,6.805066216
29189215233,29189215105,1.315051642
29189215231,29189215105,2.212993236
29189215105,29189221630,3.035820755
29189217702,29189217853,3.037993631
29189217702,29189215236,0
29189217702,29189215234,0
29189217702,29189217853,0
29189215236,29189215234,0
29189215236,29189217853,0
29189215234,29189217853,0
29189217702,29189215234,3.655791804
29189217702,29189218015,0.927207582
29189217702,29189218016,2.32975099
29189217702,29189217802,0
29189217702,29189218016,0
29189217702,29189217941,0
29189217802,29189218016,0
29189217802,29189217941,0
29189218016,29189217941,0
29189217702,29189217802,4.468981797
29189221503,29071800703,2.234506606
29189221503,29071800704,1.325655855
