GEOID20,POP20,votes_dem,votes_gop,WHITEPOP (non-Hisp),BLACKPOP,HISPLATPOP
29019001202,5315,1709.418364,1517.041939,4292,273,169
29019001300,4074,918.3356609,724.5613227,2465,690,234
29019001401,6421,1490.556357,1331.736255,4404,931,289
29019001402,5964,1467.813506,1290.591467,4187,707,300
29019001503,4339,831.3865572,736.9597295,2624,1009,236
29019001505,3504,696.3963593,531.7452446,1883,1017,258
29019001506,3167,369.0612634,297.9603649,1840,780,180
29019001507,3277,592.8414509,450.5127511,1639,680,493
29019001508,5723,1204.525284,1012.378298,3490,1165,347
29019001602,4626,1135.067795,1230.144393,3924,197,115
29019001603,3694,817.5867424,890.175417,2671,524,146
29019001604,4506,1003.482479,895.7315783,2843,926,198
29019001702,5745,1362.501608,1504.162134,4822,256,130
29019001703,3658,778.7298486,1042.919133,3345,28,52
29019001704,4711,985.3237468,1361.209091,4296,40,115
29019001803,4414,1079.376107,1278.938534,3709,176,131
29019001806,5526,1384.978583,1458.172401,4393,349,175
29019001807,5570,1410.011482,1317.959021,4106,460,224
29019001901,4530,927.2445575,1317.417442,4070,60,125
29019001903,4870,973.4010608,1325.559665,4303,67,107
29019001904,4225,836.9750254,1264.169426,3868,38,55
29019002000,5458,980.1666672,1486.222222,5008,63,127
29019002100,4023,747.7303248,439.3848982,2167,1180,169
29019002200,7917,853.1132353,649.504641,6131,765,323
29021000100,6343,1154.294589,1442.479187,5009,341,349
29021000200,4336,954.5584228,1202.724027,3750,132,214
29021000300,2701,452.6063802,563.4671437,2273,104,152
29021000400,1563,210.3171304,260.1542754,1226,47,147
29021000500,2852,465.7839161,567.1336452,2407,78,157
29021000600,4814,734.4482603,842.1507268,3840,483,241
29021000701,4576,815.5345347,1065.586214,3658,396,207
29021000702,4334,796.1206842,1002.717522,3181,414,246
29021000900,4521,772.346561,822.8801965,3408,266,368
29021001000,2279,269.7623864,236.1712742,1373,400,294
29021001100,2259,319.1739672,334.2560081,1722,151,155
29021001200,1890,227.6352005,211.0609629,1367,206,164
29021001500,4912,855.4422733,930.3640523,3807,232,409
29021001600,2556,493.3256384,558.007929,2066,135,176
29021001700,4308,686.7862424,838.1511427,3570,166,261
29021001800,3338,585.3384326,705.8350454,2858,81,191
29021002100,2188,354.5539372,466.9146815,1726,119,211
29021002200,1956,419.5745734,601.2696108,1755,22,78
29021002300,2229,450.0215998,608.0911973,1891,41,186
